subject,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total,signal_group
304,5,non_overlapping,57.778532630508266,5.671359146003162,14,14,3
304,5,overlapping,57.780294589677155,6.063797228402075,28,28,3
305,3,non_overlapping,56.01195192717285,2.5562151550410777,21,21,3
305,3,overlapping,55.931040831709595,2.2582260048292135,41,41,3
305,4,non_overlapping,56.33871635657985,2.2153489788827447,16,16,3
305,4,overlapping,56.194469170114935,2.132058681737665,31,31,3
305,5,non_overlapping,55.84065913332398,1.6065990248393611,12,12,3
305,5,overlapping,56.031546677152704,1.6874054130748584,24,24,3
306,3,non_overlapping,58.34642274511853,3.7464412691075277,21,21,3
306,3,overlapping,58.376860085529685,3.827092291568241,41,41,3
306,4,non_overlapping,58.20020949716219,3.476858656274833,16,16,3
306,4,overlapping,58.09615878254893,3.436896185784112,31,31,3
306,5,non_overlapping,58.72093651353082,3.1889633179967207,12,12,3
306,5,overlapping,58.66305763318068,3.633004965883001,24,24,3
401,3,non_overlapping,60.11085144003838,6.040717680345645,21,21,4
401,3,overlapping,60.737280222827685,7.012279667550243,41,41,4
401,4,non_overlapping,60.180986537209805,5.063016052915957,16,16,4
401,4,overlapping,60.644149097118785,5.377596642721151,31,31,4
401,5,non_overlapping,60.09498140216299,5.300475692412022,12,12,4
401,5,overlapping,60.57822882013036,5.283172672420558,24,24,4
402,3,non_overlapping,64.76620538787185,4.92101044902962,21,21,4
402,3,overlapping,64.8281371581635,4.885284499969028,41,41,4
402,4,non_overlapping,65.079553511052,4.68572018254817,16,16,4
402,4,overlapping,65.02873318396911,4.795771121012937,31,31,4
402,5,non_overlapping,64.98502683313562,4.395386234726149,12,12,4
402,5,overlapping,64.99758361979386,3.9770948649779,24,24,4
403,3,non_overlapping,68.81744979158772,3.454294771783832,24,24,4
403,3,overlapping,69.33772332774394,4.0318250160763816,48,48,4
403,4,non_overlapping,68.51206376868545,2.7957314941168003,18,18,4
403,4,overlapping,69.11289060648755,2.972436694780028,36,36,4
403,5,non_overlapping,69.2616729900356,2.9719018066038054,14,14,4
403,5,overlapping,69.24812325979867,2.746968172074748,28,28,4
404,3,non_overlapping,70.60785061488671,5.3890252823882046,24,24,4
404,3,overlapping,70.52981892570104,5.046093729802599,48,48,4
404,4,non_overlapping,70.56656306604992,3.8640655283185783,18,18,4
404,4,overlapping,70.78087016396302,4.157047399857948,36,36,4
404,5,non_overlapping,70.72731001648833,3.995159001575107,14,14,4
404,5,overlapping,70.94783120155267,3.837305022094966,28,28,4
405,3,non_overlapping,65.60643309862681,4.538743395767519,21,21,4
405,3,overlapping,65.45198446517323,4.467649683145327,41,41,4
405,4,non_overlapping,65.24059006089388,4.174143350697276,16,16,4
405,4,overlapping,65.33945084880713,4.02023209177195,31,31,4
405,5,non_overlapping,65.26303908788961,3.6279447278732024,12,12,4
405,5,overlapping,65.33015101285748,3.7745412748234894,24,24,4
406,3,non_overlapping,66.75883407706463,10.506577419289911,21,21,4
406,3,overlapping,65.69799767489599,8.390434596766863,41,41,4
406,4,non_overlapping,66.73354627492,8.985432021454187,16,16,4
406,4,overlapping,66.6793200378318,9.425059825775556,31,31,4
406,5,non_overlapping,66.82826855571362,8.639719486209096,12,12,4
406,5,overlapping,67.30018949139901,9.267939075061717,24,24,4
501,3,non_overlapping,52.217207739130814,21.41357554686897,21,21,5
501,3,overlapping,50.485712185682296,17.50740925356996,41,41,5
501,4,non_overlapping,48.123749919698724,5.11972215146355,16,16,5
501,4,overlapping,49.40130541243819,12.07699931281963,31,31,5
501,5,non_overlapping,51.199545361867735,12.991878502182397,12,12,5
501,5,overlapping,50.85750462132362,13.362390379339681,24,24,5
502,3,non_overlapping,87.15000018699557,28.39458359336996,21,21,5
502,3,overlapping,89.12648002002528,26.468758113095824,41,41,5
502,4,non_overlapping,88.32062365539065,23.25735831035503,16,16,5
502,4,overlapping,88.93016077463199,21.90939477283027,31,31,5
502,5,non_overlapping,89.06365164063133,16.26949842671332,12,12,5
502,5,overlapping,88.37061199013442,17.045450262381134,24,24,5
503,3,non_overlapping,78.26828517683062,34.062975971843855,24,24,5
503,3,overlapping,74.27374088990472,33.611406728377,48,48,5
503,4,non_overlapping,71.61338956122196,23.496957182656107,18,18,5
503,4,overlapping,71.93051282846217,23.378694128615738,36,36,5
503,5,non_overlapping,74.39442380162613,20.36650249442994,14,14,5
503,5,overlapping,73.25585237722714,20.30862144232718,28,28,5
504,3,non_overlapping,79.02503655150285,30.110246869848424,24,24,5
504,3,overlapping,80.30865262470184,34.25593478486964,48,48,5
504,4,non_overlapping,80.99371379627569,28.28396882375187,18,18,5
504,4,overlapping,79.58477326876009,28.193320975294718,36,36,5
504,5,non_overlapping,83.22479363025617,23.178198242076572,14,14,5
504,5,overlapping,78.60665402637972,24.283407381259973,28,28,5
505,3,non_overlapping,71.37855175172734,31.67415802489804,21,21,5
505,3,overlapping,71.68454940183399,32.11112665750817,41,41,5
505,4,non_overlapping,71.67701271879629,25.492227807899678,16,16,5
505,4,overlapping,70.56996010945252,25.433892881269088,31,31,5
505,5,non_overlapping,70.2571466805213,22.046144644762478,12,12,5
505,5,overlapping,69.49312915692559,20.856095951101988,24,24,5
506,3,non_overlapping,76.45569045622473,32.651977548906125,21,21,5
506,3,overlapping,75.92130738276997,35.44163986980833,41,41,5
506,4,non_overlapping,74.92417057081936,27.20481464026623,16,16,5
506,4,overlapping,73.54420297930197,27.491697186572544,31,31,5
506,5,non_overlapping,74.12478262283018,19.120684266403558,12,12,5
506,5,overlapping,74.76929292209148,22.748585872756756,24,24,5
601,3,non_overlapping,64.63059231849952,3.595366948256764,21,21,6
601,3,overlapping,65.41624451375122,4.825452845887821,41,41,6
601,4,non_overlapping,66.24553966148794,5.796270589880482,16,16,6
601,4,overlapping,65.90594049580737,5.578000221327269,31,31,6
601,5,non_overlapping,66.1254262978401,4.866175414680379,12,12,6
601,5,overlapping,65.8121273501557,4.648009905626114,24,24,6
603,3,non_overlapping,71.65517911034216,5.859129255924834,24,24,6
603,3,overlapping,71.31536859757905,5.342573364592179,48,48,6
603,4,non_overlapping,70.90322705040347,4.751017387217561,18,18,6
603,4,overlapping,71.06223278232586,4.710539247306424,36,36,6
603,5,non_overlapping,71.59235021778393,4.473440136467078,14,14,6
603,5,overlapping,71.50466490834076,4.46113184611586,28,28,6
604,3,non_overlapping,73.99645312417051,5.6584891718906345,24,24,6
604,3,overlapping,74.03484000902479,5.612857271083664,48,48,6
604,4,non_overlapping,72.70877277580176,2.6191929810997796,18,18,6
604,4,overlapping,73.26774816702353,3.5843267459117287,36,36,6
604,5,non_overlapping,73.72449965493443,3.6598811283310773,14,14,6
604,5,overlapping,73.84954705405016,4.121940543901773,28,28,6
605,3,non_overlapping,67.85696416792477,3.994090102228784,21,21,6
605,3,overlapping,68.23800936237859,5.250095451615976,41,41,6
605,4,non_overlapping,68.38547423003243,6.096946029897168,16,16,6
