subject,signal_length,signal_length_sec,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total
105,480,16.0,4,non_overlapping,83.876928277672,15.547376037006071,4,4
105,480,16.0,4,overlapping,81.78502465171312,12.597902708054407,7,7
105,480,16.0,5,non_overlapping,85.10048593664155,14.395173318249546,3,3
105,480,16.0,5,overlapping,81.2748488582356,12.094911333248238,5,5
105,1920,64.0,3,non_overlapping,73.31440188460456,10.712164144259418,21,21
105,1920,64.0,3,overlapping,74.04316786915304,11.476828068348262,41,41
105,1920,64.0,4,non_overlapping,75.66113091368257,13.873839172398467,16,16
105,1920,64.0,4,overlapping,74.87032696202124,11.934061708732514,31,31
105,1920,64.0,5,non_overlapping,75.99698099719637,12.459951156285827,12,12
105,1920,64.0,5,overlapping,74.58969249025954,10.626907347784332,24,24
106,160,5.3,3,non_overlapping,67.94871794871796,0.0,1,1
106,160,5.3,3,overlapping,68.58974358974359,0.6410256410256352,2,2
106,160,5.3,4,non_overlapping,68.58974358974359,0.0,1,1
106,160,5.3,4,overlapping,68.58974358974359,0.0,1,1
106,160,5.3,5,non_overlapping,68.71794871794872,0.0,1,1
106,160,5.3,5,overlapping,68.71794871794872,0.0,1,1
106,320,10.7,3,non_overlapping,70.4059829059829,1.7813388889458353,3,3
106,320,10.7,3,overlapping,70.39957264957265,2.2306761040914447,6,6
106,320,10.7,4,non_overlapping,71.2948717948718,2.7051282051282044,2,2
106,320,10.7,4,overlapping,70.82371794871794,1.9829799504513843,4,4
106,320,10.7,5,non_overlapping,73.07799145299145,4.3600427350427395,2,2
106,320,10.7,5,overlapping,72.7494301994302,3.5901559987855873,3,3
106,480,16.0,3,non_overlapping,71.0102564102564,1.7091123686748584,5,5
106,480,16.0,3,overlapping,71.13675213675214,2.233035820050465,9,9
106,480,16.0,4,non_overlapping,71.1826923076923,2.2542808461823953,4,4
106,480,16.0,4,overlapping,71.34798534798534,2.0583204405858626,7,7
106,480,16.0,5,non_overlapping,73.31866096866098,3.5761933298519875,3,3
106,480,16.0,5,overlapping,72.51222222222222,2.9830334212240532,5,5
106,1920,64.0,3,non_overlapping,71.41607070178497,9.006352231533059,21,21
106,1920,64.0,3,overlapping,72.4663296212794,11.174750814405046,41,41
106,1920,64.0,4,non_overlapping,72.73498774509804,8.775694423468194,16,16
106,1920,64.0,4,overlapping,72.6844128883977,8.816907245373766,31,31
106,1920,64.0,5,non_overlapping,73.2811914936915,7.473621535157134,12,12
106,1920,64.0,5,overlapping,73.34570509827863,8.554560928860974,24,24
201,160,5.3,3,non_overlapping,81.81818181818183,0.0,1,1
201,160,5.3,3,overlapping,82.46753246753246,0.6493506493506445,2,2
201,160,5.3,4,non_overlapping,82.7922077922078,0.0,1,1
201,160,5.3,4,overlapping,82.7922077922078,0.0,1,1
201,160,5.3,5,non_overlapping,82.5974025974026,0.0,1,1
201,160,5.3,5,overlapping,82.5974025974026,0.0,1,1
201,320,10.7,3,non_overlapping,79.87483530961792,1.9702366836282277,3,3
201,320,10.7,3,overlapping,79.37191793713534,2.752085176928541,6,6
201,320,10.7,4,non_overlapping,80.56359401468097,2.2286137775268244,2,2
201,320,10.7,4,overlapping,79.72339073969508,2.7744482447721213,4,4
201,320,10.7,5,non_overlapping,79.47696216826651,3.1204404291360888,2,2
201,320,10.7,5,overlapping,79.69977413890457,2.5672402815170816,3,3
201,480,16.0,3,non_overlapping,78.45823451910408,6.535825428437712,5,5
201,480,16.0,3,overlapping,77.2951573386356,6.421207346657301,9,9
201,480,16.0,4,non_overlapping,77.30344323550845,5.863420095499874,4,4
201,480,16.0,4,overlapping,77.43227648817711,4.86274224558139,7,7
201,480,16.0,5,non_overlapping,77.44129590216546,3.8443863760564243,3,3
201,480,16.0,5,overlapping,78.1535227091749,3.157475475604671,5,5
201,1920,64.0,3,non_overlapping,72.20087412012879,5.552475055700384,21,21
201,1920,64.0,3,overlapping,71.56994943315196,5.139776020826914,41,41
201,1920,64.0,4,non_overlapping,71.86733842847973,4.981798409933056,16,16
201,1920,64.0,4,overlapping,71.55783070755021,4.704289033116916,31,31
201,1920,64.0,5,non_overlapping,71.72231198752938,4.571238599707256,12,12
201,1920,64.0,5,overlapping,71.68022038348126,4.400891461767826,24,24
202,160,5.3,3,non_overlapping,80.63241106719369,0.0,1,1
202,160,5.3,3,overlapping,81.28176171654434,0.6493506493506445,2,2
202,160,5.3,4,non_overlapping,80.92885375494072,0.0,1,1
202,160,5.3,4,overlapping,80.92885375494072,0.0,1,1
202,160,5.3,5,non_overlapping,81.8746470920384,0.0,1,1
202,160,5.3,5,overlapping,81.8746470920384,0.0,1,1
